company,role,location,term,duration,field,link,date_posted,deadline,salary,notes
D2L,Senior Account Manager (Dutch Speaking),The Netherlands,Summer,4,Software,https://www.d2l.com/careers/jobs/?job_id=7716291&gh_jid=7716291,2026-06-19,,,
D2L,Senior Product Designer (12 Month Contract),"Kitchener, Toronto",Summer,12,Software,https://www.d2l.com/careers/jobs/?job_id=7997754&gh_jid=7997754,2026-06-23,,,
D2L,"Senior Sales Executive, Higher Education",US Remote,Summer,12,Software,https://www.d2l.com/careers/jobs/?job_id=7742806&gh_jid=7742806,2026-06-19,,,
D2L,Senior Software Developer,"Kitchener, Toronto",Summer,4,Software,https://www.d2l.com/careers/jobs/?job_id=2079857&gh_jid=2079857,2026-06-25,,,
D2L,"Senior Software Developer 2, Artificial Intelligence","Kitchener, Toronto",Summer,4,Software,https://www.d2l.com/careers/jobs/?job_id=6911941&gh_jid=6911941,2026-06-19,,,
D2L,Software Developer - New Graduate,"Kitchener, ON",Summer,4,Software,https://www.d2l.com/careers/jobs/?job_id=7455458&gh_jid=7455458,2026-06-25,,,
D2L,Solutions Engineer,Canada,Summer,4,Software,https://www.d2l.com/careers/jobs/?job_id=7722011&gh_jid=7722011,2026-06-19,,,
Hootsuite,Implementation Specialist,"Mexico City, Mexico",Summer,4,Software,https://job-boards.greenhouse.io/hootsuite/jobs/8026791,2026-06-25,,,
Hootsuite,IT Operations Administrator,Toronto,Summer,4,Software,https://job-boards.greenhouse.io/hootsuite/jobs/8024361,2026-06-26,,,
Hootsuite,IT Operations Administrator (12 Month Contract),Luxembourg,Summer,12,Software,https://job-boards.greenhouse.io/hootsuite/jobs/8028308,2026-06-25,,,
D2L,Business Development Coordinator - Fall 2026 Co-op,"Kitchener, Ontario",Fall,4,Software,https://www.d2l.com/careers/jobs/?job_id=7890146&gh_jid=7890146,2026-06-19,,,
D2L,Business Development Representative,"Kitchener, Ontario",Summer,4,Software,https://www.d2l.com/careers/jobs/?job_id=5645528&gh_jid=5645528,2026-06-19,,,
Canadian Space Agency,Directive on Student Employment,"Longueuil, QC",Fall,4,Aerospace,https://www.tbs-sct.gc.ca/pol/doc-eng.aspx?id=32638,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Post-Secondary Co-op/Internship Program,"Longueuil, QC",Fall,4,Aerospace,https://www.canada.ca/en/public-service-commission/jobs/services/recruitment/students/coop-internship.html,2026-07-13,,,Apply via co-op office
Canadian Space Agency,programmesetudiants-studentsprograms@asc-csa.gc.ca,"Longueuil, QC",Fall,4,Aerospace,https://www.asc-csa.gc.ca/eng/jobs/search-internships.asp,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Information about internships and student jobs,"Longueuil, QC",Fall,4,Aerospace,https://www.asc-csa.gc.ca/eng/jobs/internships-and-student-jobs.asp,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Rare diseases and Health in space Internship Space Exploration Winter 2021,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/21686-stage-sur-les-maladies-orphelines-et-la-sante-dans-l-espace/66902-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,core Flight System (cFS) Development Intern Space Exploration Summer 2021,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/23463-stagaire-en-developpement-core-flight-systems-cfs/73632-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Lunar Gateway Program Systems Engineering Internship Space Exploration Summer 2021,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/23462-stage-d-ingenierie-des-systemes-du-programme-passerelle-lunaire/73631-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Administrative Assistant Intern Space Science and Technology Summer 2021,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/24558-stagiaire-adjoint-e-administratif-ve/76959-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,"Innovation Intern, Satellite Operations and Infrastructure Space Utilization Summer 2021","Longueuil, QC",Summer,4,Software,https://asc-csa.hiringplatform.ca/25497-stagiaire-en-innovation-exploitation-et-infrastructure-des-satellites/78829-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship in Food Production in Space and on Earth Space Exploration Summer 2021,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/26292-stagiaire-production-alimentaire-dans-l-espace-et-sur-terre/81460-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship with the Data Center of Expertise Information Management and Information Technology Summer 2021,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/26800-stage-avec-le-centre-d-expertise-en-donnees/83074-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Database Developer for Satellite Missions Space Utilization Fall 2021,"Longueuil, QC",Fall,4,Software,https://asc-csa.hiringplatform.ca/30871-stage-developpeur-de-base-de-donnees-pour-missions-satellitaires/96024-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,"Intern, Intellectual Property Management and Technology Transfer (IPMTT) Finance and Corporate Services Fall 2021","Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/31927-gestion-de-la-propriete-intellectuelle-et-du-transfert-de-technologies-gpitt/99357-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship Planning of health research for the Lunar program Space Exploration Fall 2021,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/32905-stage-planification-des-recherches-en-sante-pour-le-programme-lunaire/103208-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship in Space Exploration Technology Planning Space Exploration Fall 2021,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/33150-stage-en-planification-technologique-d-exploration-spatiale/104282-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Project Management Internship Space Utilization Fall 2021,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/33996-stage-en-gestion-de-projet/108398-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Intern Engineer – Project Management Space Exploration Fall 2021,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/34043-ingenieur-stagiaire-gestion-de-projets/108553-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,"Research Assistant, Radiation Health Space Exploration Winter 2022","Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/37664-stagiaire-assistant-de-recherche-radioprotection-105/121183-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship Radio Frequency Qualification Facilities Space Science and Technology Winter 2022,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/38387-stage-installations-de-qualification-en-radiofrequences-103/124427-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Spacecraft engineering internship Space Science and Technology Winter 2022,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/39396-stage-en-ingenierie-des-engins-spatiaux/128548-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Modeling Radar Subsurface Mars Ice Detection Internship Space Utilization Winter 2022,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/39395-stage-en-modelisation-de-la-detection-par-radar-de-glace-sur-mars/128547-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Project Management Internship Integrated Planning and Programs Winter 2022,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/40043-stagiaire-stage-en-gestion-de-projets-121/131164-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Canadian Space Station Program Engineering Internship Space Exploration Winter 2022,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/40472-stage-d-ingenierie-pour-le-programme-canadien-de-la-station-spatiale-108/132695-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Scientific conference and Data visualization Internship Space Utilization Winter 2022,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/40476-stage-pour-l-organisation-d-une-conference-scientifique-et-visualisation-de-donnees-142/132707-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship for a tool to assess project resource needs Space Exploration Winter 2022,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/40477-stage-pour-un-outil-d-evaluation-des-ressources-de-projet-145/132708-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Space Astronomy Internship Space Exploration Winter 2022,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/40478-stage-en-astronomie-spatiale-148/132709-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship – Unity and HoloLens developer for the HoloMOTS application Canadarm2 simulator Space Exploration Winter 2022,"Longueuil, QC",Winter,4,Software,https://asc-csa.hiringplatform.ca/40526-stage-developpeur-unity-et-hololens-pour-l-application-holomots-simulateur-canadarm2-127/132822-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship – D-MOTS client-server application development for the Canadarm2 simulator Space Exploration Winter 2022,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/40473-stage-en-developpement-de-l-application-client-serveur-d-mots-pour-le-simulateur-canadarm2-129/132696-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Intern – Project Management Space Utilization Winter 2022,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/40369-stagiaire-gestion-de-projets-d-ingenierie-152/132302-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship – Web Developer Space Exploration Winter 2022,"Longueuil, QC",Winter,4,Software,https://asc-csa.hiringplatform.ca/40487-stage-developpeur-web-130/132736-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,IT Support Internship Information Management and Information Technology Winter 2022,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/40722-stage-en-support-it/133550-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Cartography Intern Space Science and Technology Winter 2022,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/40597-stagiaire-en-cartographie-106/133065-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship – 3D printed material software developer Space Exploration Winter 2022,"Longueuil, QC",Winter,4,Software,https://asc-csa.hiringplatform.ca/40596-stage-developpeur-de-logiciel-pour-materiel-imprime-en-3d-126/133064-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship – Earth system science mission support Space Utilization Winter 2022,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/40724-stage-soutien-de-mission-en-sciences-atmospheriques-155/133553-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,"Internship Software Specialist, Satellite Operations and Infrastructure Space Utilization Winter 2022","Longueuil, QC",Winter,4,Software,https://asc-csa.hiringplatform.ca/41290-stage-specialiste-logiciel-operations-satellitaires-et-infrastructure-160/136463-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship – Planning and Performance Measure Space Science and Technology Winter 2022,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/41391-stage-planification-et-mesure-du-rendement-162/136979-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Project Management internship Space Science and Technology Summer 2022,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/57004-stage-en-gestion-de-projets-223/198546-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship Automating space-based AIS data management using open source technologies Space Utilization Summer 2022,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/57013-stage-automatisation-de-la-gestion-des-donnees-ais-spatiales-a-l-aide-de-technologies-open-source-217/198572-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship – Warehouse Technician Finance and Corporate Services Summer 2022,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/56913-stage-technicien-d-entrepot-207/198243-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship Gateway Program Integration Support Space Exploration Summer 2022,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/56921-stage-support-a-l-integration-de-programme-gateway-226/198258-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship Extreme value data analysis Space Utilization Summer 2022,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/57641-stage-analyse-des-valeurs-extremes-228/200486-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship Arctic Observing Mission and Space Mission Development Space Utilization Summer 2022,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/57329-stage-developpement-de-missions-spatiales-la-mission-d-observation-de-l-arctique-235/199727-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship Student Education Advisor Communications Summer 2022,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/57313-stage-conseiller-en-formation-des-etudiants-234/199669-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Mission Planner Internship Space Utilization Summer 2022,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/57060-stagiaire-en-planification-de-mission-229/198765-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship in Greening operations and sustainability Corporate Services and Human Resources Summer 2022,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/57752-stage-en-ecologisation-des-operations-et-developpement-durable-244/200914-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship in the analysis of employment systems in Human Resources Corporate Services and Human Resources Summer 2022,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/57786-stage-d-analyse-des-systemes-d-emploi-en-rh-238/201061-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Human Resources communication internship Corporate Services and Human Resources Summer 2022,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/57693-stage-en-communication-rh-237/200660-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Coop Student in Space Astronomy Space Exploration Fall 2022,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/74223-stagiaire-en-astronomie-spatiale/271185-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship Onboard SAR Processing for Polarimetric Subsurface Ice Detection on Mars Space Utilization Fall 2022,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/76818-traitement-embarque-de-donnees-radar-polarimetriques-pour-la-teledetection-de-glace-souterraine-sur-mars/282594-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internsip Information technology (project management office) Integrated Planning and Programs Fall 2022,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/77677-stage-en-technologie-de-l-information-au-bureau-de-gestion-de-projet/286215-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Intern Engineer project management Space Science and Technology or Space Exploration Fall 2022,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/79235-stagiaire-ingenieur-e-gestion-de-projet-335-336-337/293097-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Data Science Intern Information Management and Information Technology Fall 2022,"Longueuil, QC",Fall,4,AI / Data,https://asc-csa.hiringplatform.ca/79264-stagiaire-en-science-des-donnees/293171-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Planetary Robotics Internship – Mission Planning Tool Development Space Exploration Fall 2022,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/79629-stage-robotique-planetaire-developpement-d-outils-de-planification-de-mission/294560-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Unreal Software Developement Intern Space Exploration Fall 2022,"Longueuil, QC",Fall,4,Software,https://asc-csa.hiringplatform.ca/79626-stagiaire-en-developpement-logiciel-unreal/294557-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Satellite Operations Internship Space Utilization Fall 2022,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/79713-stage-en-operations-satellite/294931-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship Software maintenance and development Space Exploration Winter 2023,"Longueuil, QC",Winter,4,Software,https://asc-csa.hiringplatform.ca/93853-stage-maintenance-et-developpement-de-logiciel/354971-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship – Information Technologies Enterprise Project Management Office and IM-IT Enterprise Architecture Team Winter 2023,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/94182-technologie-de-l-information/356210-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship – Project Management (Enterprise Project Management Office) Integrated Planning and Programs Winter 2023,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/94186-stage-gestion-de-projet-bureau-de-gestion-de-projet-d-entreprise/356221-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Intern in data analytics Space Science and Technology Winter 2023,"Longueuil, QC",Winter,4,AI / Data,https://asc-csa.hiringplatform.ca/94337-stagiaire-en-analyse-de-donnees/356861-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship Analysis of Earth science activities Sun-Earth System Sciences Winter 2023,"Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/94545-stage-analyse-des-activites-en-science-de-la-terre/357732-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,"Building Operations Intern Finance and Corporate Services, Service Management and Administration Winter 2023","Longueuil, QC",Winter,4,Aerospace,https://asc-csa.hiringplatform.ca/94632-stagiaire-en-exploitation-des-batiments/358041-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Professional student positions in administrative support Various positions across the Canadian Space Agency Summer 2023,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/109964-postes-d-etudiants-professionnels-en-administration-001/429905-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,GERI Systems Engineering Internship Gateway Summer 2023,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/113204-stage-d-ingenierie-des-systemes-geri-207/441476-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,"Internship Junior Space Policy Analyst Space Policy, Strategic Policy and Domestic Affairs Summer 2023","Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/112956-stage-analyste-junior-en-politique-spatiale/440535-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship Design and Manufacturing of 3D-Printed Samples to Prototype Subsurface Ice Radar Detection on Mars Space Utilization Summer 2023,"Longueuil, QC",Summer,4,Engineering,https://asc-csa.hiringplatform.ca/112966-stage-conception-et-fabrication-d-echantillons-en-impression-3d-pour-le-prototypage-de-la-teledetection-par-radar-de-la-glace-souterraine/440558-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship Hyperspectral and multispectral data for water color applications – satellite data analysis and development of end-to-end mission performance simulator Space Utilization Summer 2023,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/113658-stage-utilisation-de-donnees-hyperspectrales-et-multispectrales-pour-des-applications-reliees-a-la-couleur-de-l-eau/443138-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship Lidar Remote Sensing of Snow via Multiple Scattering Space Utilization Summer 2023,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/113702-stage-tele-detection-de-la-neige-avec-un-lidar-via-la-diffusion-multiple/443294-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship at the Canadian Space Agency for a lunar rover mission Space Exploration Summer 2023,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/113703-stage-a-l-agence-spatiale-canadienne-pour-une-mission-de-rover-lunaire/443295-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Database Internship Space Utilization Summer 2023,"Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/113824-stage-en-base-de-donnees/444231-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,"Space utilization internship on satellite Earth observation Space Utilization / Planning, engagement and applications Summer 2023","Longueuil, QC",Summer,4,Aerospace,https://asc-csa.hiringplatform.ca/113881-stage-en-utilisation-de-l-espace-et-observation-de-la-terre-par-satellite/444451-application/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Internship Financial Managements Tools Developer SEOI – L&SE Summer 2023,"Longueuil, QC",Summer,4,Software,https://asc-csa.hiringplatform.ca/113779-stage-developeur-de-logiciels-en-gestion-financiere/443716-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,Financial Policy and Corporate Accounting Intern Finance and Corporate Services Fall 2023,"Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/132725-stagiaire-en-politiques-financieres-et-comptabilite-ministerielle/530808-formulaire/en,2026-07-13,,,Apply via co-op office
Canadian Space Agency,"Business Analysis & Business Intelligence Intern Division Planning, Engagement and Applications, Directorate Space Utilization Fall 2023","Longueuil, QC",Fall,4,Aerospace,https://asc-csa.hiringplatform.ca/132769-stagiaire-analyste-d-affaires-et-intelligence-d-affaires-314-315/531073-formulaire/en,2026-07-13,,,Apply via co-op office
